texto,puntaje,opcion_correcta,opcion2,opcion3
Resistencia es conocida como:, 1, La ciudad de las esculturas, Ciudad Museo, Ciudad Capital
¿Cuantas esculturas hay en Resistencia?, 3, 600, 700, 200
¿En que sectores se divide geográficamente la provincia del Chaco?, 3,  Litoral Chaqueño, centro Chaqueño e Impenetrable Chaqueño, Litoral Chaqueño e Impenetrable Chaqueño, Chaco Boreal y Chaco Austral
Campo del Cielo: Patrimonio Cultural y Turi­stico del Chaco. ¿Donde se ubica?, 3,  12 de Octubre, Bermejo,  Maipu
Al norte el limite natural establecido entre la Provincia de Chaco y Formosa es:, 1,  Bermejo, Parana, Pilcomayo
Al sur el limite establecido entre la Provincia del Chaco y Santa Fe es:, 3, Paralelo 28, Paralelo 30, Paralelo 29
El ex ferrocarril General Belgrano conectaba a: , 2, Puerto de Barranqueras con Salta,  Puerto de Barranqueras con Formosa,  Puerto de Barranquera con Santiago del Estero
En el Ambito automovili­stico deportivo Chaco tiene un exponente a nivel nacional e internacional. ¿Quien es?, 1, Juan Manuel Silva, Giorgio Carrara,  Marcos Siebert
En el Ambito de los juegos olimpicos, el Chaco tiene un medallista en: , 1,  Basquet, Futbol, Jockey
Marcela Gomez, chaqueña, participo en los Juegos Olimpicos de Tokio en: , 1;5, Atletismo, Remo, Natacion
El club de futbol mas antiguo del Chaco es: , 1, Sarmiento, For Ever, Don Orione
Por Decreto N° 1491 el Gobierno de la Provincia del Chaco se declaro a un instrumento musical como Patrimonio Cultural de la provincia del Chaco. ¿Cual es?, 3, N´viké, Charango, Acorden
La palabra Chacú del cual deriva el nombre de nuestra provincia tenia un significado.¿Cual era?, 2;5, Caza comunal de animales, Nombre de un Arbol que abunda en la region, Nombre de un animal
La superficie total de la provincia del Chaco es de: , 0;5, 99.633 Km², 32.565 Km², 29.900 Km²
La poblacion actual del Chaco oscila entre:, 2, 1.000.000, 2.000.000, 300.000
¿Quien fue el primer gobernador del Territorio Nacional del Chaco?, 3, Gral. Julio de Vedia, Gral. Antonio Donovan, Gral. Lorenzo Winter
Un escritor reconocido en el Ambito chaqueño recibio el Premio Pionero de la Letras Chaqueñas otorgado por la provincia del Chaco y la SADE local en 1985.¿Quien fue?, 1, Aledo Luis Meloni, Tony Zalazar, Tete Romero
En la bandera del Chaco hay un arado rodeado de 25 estrellas. ¿Que representan?, 2,  Los departamentos provinciales, Las ciudades principales, Grandes personajes que forzaron Chaco
En un emblematico edificio de la ciudad de Resistencia se encuentra un mural del reconocido pintor Emilio Pettoruti ¿Donde se encuentra emplazado?, 3, Casa de Gobierno, La Municipalidad de la Ciudad, El Fogon de los Arrieros
La produccion destacada chaqueña que perdura en la memoria y porla cual se la reconoce a la provincia fue:, 2, Algodon, Caña de azucar, Produccion de tanino
